procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1921760 129188 1013000    0    0     0     0  351  401 94  6  0  0  0
 1  0      0 1916552 129188 1013136    0    0     0     0  340  484 91  9  0  0  0
 1  0      0 1910972 129188 1013280    0    0     0     0  325  398 94  6  0  0  0
 1  0      0 1906012 129188 1013436    0    0     0     0  336  400 94  6  0  0  0
 4  0      0 1900556 129188 1013584    0    0     0     0  367  800 91  9  0  0  0
 2  0      0 1895720 129196 1013720    0    0     0    16  393  946 92  8  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1887288 129196 1013848    0    0     0     0  324  436 95  5  0  0  0
 1  0      0 1880468 129196 1014024    0    0     0     0  309  394 93  7  0  0  0
 1  0      0 1880468 129196 1014188    0    0     0     0  323  361 97  3  0  0  0
 1  0      0 1880336 129196 1014272    0    0     0     0  317  383 95  5  0  0  0
 1  0      0 1880336 129204 1014440    0    0     0    16  330  375 99  1  0  0  0
 1  0      0 1880088 129204 1014608    0    0     0     0  323  389 96  4  0  0  0
 1  0      0 1879840 129204 1014776    0    0     0     0  295  386 94  6  0  0  0
 1  0      0 1879592 129204 1014984    0    0     0     0  332  410 92  8  0  0  0
 1  0      0 1878832 129208 1015152    0    0     4     0  343  472 94  6  0  0  0
 1  0      0 1878296 129216 1015252    0    0     0  3056  384  704 83 17  0  0  0
 2  0      0 1878276 129224 1015412    0    0     0   236  424  589 86 14  0  0  0
 1  0      0 1878028 129224 1015632    0    0     0     0  407  543 89 11  0  0  0
 1  0      0 1877904 129224 1015772    0    0     0     0  427  752 92  8  0  0  0
 1  0      0 1877656 129224 1015912    0    0     0     0  426  771 89 11  0  0  0
 2  0      0 1875040 129232 1016096    0    0     0   136  435 1359 83 17  0  0  0
 2  0      0 1874668 129232 1016208    0    0     0     0  370  787 88 12  0  0  0
 2  0      0 1874668 129232 1016256    0    0     0     0  359  676 88 12  0  0  0
 2  0      0 1874420 129232 1016316    0    0     0     0  335  524 90 10  0  0  0
 4  0      0 1874420 129232 1016388    0    0     0     0  313  495 91  9  0  0  0
 1  0      0 1874668 129240 1016452    0    0     0    32  354  723 89 11  0  0  0
 1  0      0 1874668 129240 1016580    0    0     0     0  345  442 95  5  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1874792 129240 1016788    0    0     0     0  335  400 98  2  0  0  0
 1  0      0 1922780 129240 1016816    0    0     0     0  353  449 93  7  0  0  0
 1  0      0 1922656 129240 1016936    0    0     0     0  388  549 93  7  0  0  0
 2  0      0 2229496 129248 1020824    0    0  3756  1768  391  620 61 34  0  5  0
 0  0      0 2256124 129252 1019232    0    0  2032  1444  327  630 44 34 13  8  0
 1  0      0 2251656 129280 1023060    0    0  4332     4  348  679 41 38  1 21  0
 3  0      0 2247012 129292 1025140    0    0  2056     0  348  660 54 39  0  7  0
 1  0      0 2236948 129320 1031144    0    0  5864     0  404  757 46 31  0 24  0
 1  0      0 2175416 129332 1031564    0    0   404   392  370  481 84 16  0  0  0
 1  0      0 2076464 129332 1031576    0    0     0     0  380  432 90 10  0  0  0
 1  0      0 2018060 129332 1031576    0    0     0     0  380  467 92  8  0  0  0
 1  0      0 1933740 129332 1031576    0    0     0     0  370  412 88 13  0  0  0
 1  0      0 1871740 129332 1031576    0    0     0     0  316  340 86 14  0  0  0
 1  0      0 1787420 129332 1031576    0    0     0     0  317  301 81 19  0  0  0
 1  0      0 1755056 129340 1031576    0    0     0    12  330  302 93  7  0  0  0
 1  0      0 1686360 129340 1031576    0    0     0     0  342  530 83 17  0  0  0
 1  0      0 1643828 129340 1031576    0    0     0     0  351  492 85 15  0  0  0
 1  0      0 1595096 129340 1031576    0    0     0     0  322  485 87 13  0  0  0
 1  0      0 1545432 129340 1031576    0    0     0   504  436  660 83 17  0  0  0
 2  0      0 1486780 129340 1031576    0    0     0     0  388  819 80 20  0  0  0
 1  0      0 1427756 129348 1031576    0    0     0    40  354  410 85 15  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1356084 129348 1031576    0    0     0     0  349  410 81 19  0  0  0
 2  0      0 1294084 129348 1031576    0    0     0     0  350  418 82 18  0  0  0
 1  0      0 1235308 129348 1031576    0    0     0     0  380  615 87 13  0  0  0
 1  0      0 1182360 129348 1031576    0    0     0    12  328  473 84 16  0  0  0
 1  0      0 1162768 129348 1031640    0    0     0     0  312  340 93  7  0  0  0
 3  0      0 1162768 129356 1031644    0    0     0    28  371  635 93  7  0  0  0
 3  0      0 1162768 129356 1031644    0    0     0     0  341  554 96  4  0  0  0
 2  0      0 1162644 129356 1031644    0    0     0     0  294  322 96  4  0  0  0
